ID,Name,Category,Intake,University,Status,Start_Date
AANF23,"GR GS FA24 Campaign- Admit, No Deposit",Post Admission,AY2024,Illinois Institute of Technology,Completed,3/20/2024 0:00
AND23,GR GS FA24 Campaign- Deposit No Action,Post Admission,AY2024,Illinois Institute of Technology,Completed,09-11-2024 00:00
BPNANF23,"GR GS FA24 Campaign- Deposit, No I-20",Post Admission,AY2024,Illinois Institute of Technology,Completed,07-11-2024 00:00
BPNND23,GR GS FA24 Campaign- In Progress,Pre Admission,AY2024,Illinois Institute of Technology,Completed,03-06-2024 00:00
CTKANF23,"GR GS FA24 Campaign- Submit, Incomplete",Pre Admission,AY2024,Illinois Institute of Technology,Completed,03-08-2024 00:00
DANE24,GR GS Call Campaign: India ANF,Pre Admission,AY2024,Illinois Institute of Technology,Completed,4/28/2023 0:00
DNA24,GR GS Call Campaign: India No Deposit,Post Admission,AY2024,Illinois Institute of Technology,Completed,07-03-2023 00:00
FA24AND,GR GS Call Campaign: Other ANF,Post Admission,AY2024,Illinois Institute of Technology,Completed,5/16/2023 0:00
FA24DNA,GR GS Call Campaign: Other No Deposit,Post Admission,AY2024,Illinois Institute of Technology,Completed,07-05-2023 00:00
FA24DNI,GR GS SP25 Campaign- All I-20s Sent,Post Admission,AY2024,Illinois Institute of Technology,Completed,12-05-2024 00:00
FA24IP,"GR GS SP25 Campaign- Admit, No Deposit",Post Admission,AY2024,Illinois Institute of Technology,Completed,10-09-2024 00:00
FA24SIC,"GR GS SP25 Campaign- Deposit, No I-20",Post Admission,AY2024,Illinois Institute of Technology,Completed,10/22/2024 0:00
IANF23,GR GS SP25 Campaign- Deferrals to SP25,Post Admission,AY2024,Illinois Institute of Technology,Completed,11-05-2024 00:00
IND23,GR GS SP25 Campaign- In Progress,Pre Admission,AY2024,Illinois Institute of Technology,Completed,10-07-2024 00:00
OANF23,GR GS SP25 Campaign- New Inquiry,Pre Admission,AY2024,Illinois Institute of Technology,Completed,10/18/2024 0:00
OND23,"GR GS SP25 Campaign- Submitted, Incomplete",Pre Admission,AY2024,Illinois Institute of Technology,Completed,10-09-2024 00:00
SP25AI2S,GR GS Call Campaign: Africa ANF,Pre Admission,AY2024,Illinois Institute of Technology,Completed,5/18/2023 0:00
SP25AND,GR GS Call Campaign: Africa No Deposit,Post Admission,AY2024,Illinois Institute of Technology,Completed,07-05-2023 00:00
SP25DN1,"GR GS Call Campaign: Bangladesh, Pakistan, Nepal ANF",Pre Admission,AY2024,Illinois Institute of Technology,Completed,5/16/2023 0:00
SP25DSP,"GR GS Call Campaign: Bangladesh, Pakistan, Nepal No Deposit",Post Admission,AY2024,Illinois Institute of Technology,Completed,07-05-2023 00:00
SP25IP,"GR GS Call Campaign: China, Taiwan, Korea ANF",Pre Admission,AY2024,Illinois Institute of Technology,Completed,5/16/2023 0:00
SP25NIQ,"Deposit and Advised, Not Enrolled",Post Admission,AY2024,Illinois Institute of Technology,Completed,7/17/2024 0:00
SP25SIC,"Deposit, Not Advised",Post Admission,AY2024,Illinois Institute of Technology,Completed,7/17/2024 0:00
